nohup: ignoring input
010.sh: line 2: 12899 Killed                  CUDA_VISIBLE_DEVICES=0 python -W ignore cnn-tree-107.py 1 0.001 20000 0.0 0 hvac
python: can't open file 'cnn-tree-127.py': [Errno 2] No such file or directory
1 0 0.001 20000 0.0 ['fridge']
Round: 7000 Training Error: tensor(59.1634, device='cuda:0') Validation Error: tensor(55.8633, device='cuda:0') Test Error: tensor(40.7977, device='cuda:0')
Round: 7500 Training Error: tensor(59.1589, device='cuda:0') Validation Error: tensor(55.8784, device='cuda:0') Test Error: tensor(40.5552, device='cuda:0')
Round: 8000 Training Error: tensor(58.8920, device='cuda:0') Validation Error: tensor(55.4674, device='cuda:0') Test Error: tensor(40.9413, device='cuda:0')
Round: 8500 Training Error: tensor(58.9179, device='cuda:0') Validation Error: tensor(55.2180, device='cuda:0') Test Error: tensor(41.3275, device='cuda:0')
Round: 9000 Training Error: tensor(58.8579, device='cuda:0') Validation Error: tensor(55.8156, device='cuda:0') Test Error: tensor(40.7487, device='cuda:0')
Round: 9500 Training Error: tensor(58.8273, device='cuda:0') Validation Error: tensor(55.3383, device='cuda:0') Test Error: tensor(41.2105, device='cuda:0')
Round: 10000 Training Error: tensor(58.7942, device='cuda:0') Validation Error: tensor(55.8087, device='cuda:0') Test Error: tensor(40.7621, device='cuda:0')
Round: 10500 Training Error: tensor(58.6784, device='cuda:0') Validation Error: tensor(55.4223, device='cuda:0') Test Error: tensor(41.0508, device='cuda:0')
Round: 11000 Training Error: tensor(58.7234, device='cuda:0') Validation Error: tensor(55.3314, device='cuda:0') Test Error: tensor(41.1349, device='cuda:0')
Round: 11500 Training Error: tensor(58.6012, device='cuda:0') Validation Error: tensor(55.5072, device='cuda:0') Test Error: tensor(40.8415, device='cuda:0')
Round: 12000 Training Error: tensor(58.6514, device='cuda:0') Validation Error: tensor(55.6101, device='cuda:0') Test Error: tensor(40.7204, device='cuda:0')
Round: 12500 Training Error: tensor(58.5532, device='cuda:0') Validation Error: tensor(55.3035, device='cuda:0') Test Error: tensor(40.9097, device='cuda:0')
Round: 13000 Training Error: tensor(58.5969, device='cuda:0') Validation Error: tensor(55.5266, device='cuda:0') Test Error: tensor(40.6285, device='cuda:0')
Round: 13500 Training Error: tensor(58.4777, device='cuda:0') Validation Error: tensor(55.1242, device='cuda:0') Test Error: tensor(41.0080, device='cuda:0')
Round: 14000 Training Error: tensor(58.4597, device='cuda:0') Validation Error: tensor(55.3689, device='cuda:0') Test Error: tensor(40.7062, device='cuda:0')
Round: 14500 Training Error: tensor(58.5283, device='cuda:0') Validation Error: tensor(54.9103, device='cuda:0') Test Error: tensor(41.2301, device='cuda:0')
Round: 15000 Training Error: tensor(58.3666, device='cuda:0') Validation Error: tensor(55.1517, device='cuda:0') Test Error: tensor(40.8386, device='cuda:0')
Round: 15500 Training Error: tensor(58.3241, device='cuda:0') Validation Error: tensor(55.0024, device='cuda:0') Test Error: tensor(40.9337, device='cuda:0')
Round: 16000 Training Error: tensor(58.3141, device='cuda:0') Validation Error: tensor(55.0033, device='cuda:0') Test Error: tensor(40.9163, device='cuda:0')
Round: 16500 Training Error: tensor(58.2099, device='cuda:0') Validation Error: tensor(55.3904, device='cuda:0') Test Error: tensor(40.5045, device='cuda:0')
Round: 17000 Training Error: tensor(58.1276, device='cuda:0') Validation Error: tensor(54.8596, device='cuda:0') Test Error: tensor(40.9201, device='cuda:0')
Round: 17500 Training Error: tensor(58.0555, device='cuda:0') Validation Error: tensor(54.8255, device='cuda:0') Test Error: tensor(40.8741, device='cuda:0')
Round: 18000 Training Error: tensor(57.9122, device='cuda:0') Validation Error: tensor(54.8960, device='cuda:0') Test Error: tensor(40.7233, device='cuda:0')
Round: 18500 Training Error: tensor(58.1795, device='cuda:0') Validation Error: tensor(55.6311, device='cuda:0') Test Error: tensor(39.9004, device='cuda:0')
